Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1878213,-,-,-,31.25,34.78,2,268,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,15,30,405,95,194,6.4,13.2,991,63.45,278,1.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,16,30,58,27,31,6.9,11.6,992,72.89,277,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,17,30,0,0,0,6.3,11,992,72.84,273,1.6,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,18,30,0,0,0,5.8,10.5,992,72.8,268,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,19,30,0,0,0,4.9,9.9,992,71.05,260,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,20,30,0,0,0,4.3,9.3,992,70.93,246,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,21,30,0,0,0,3.9,8.4,991,73.51,234,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,22,30,0,0,0,3.7,7.5,991,77.08,226,1.7,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,23,30,0,0,0,3.6,7.1,991,78.56,221,2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,0,30,0,0,0,3.4,6.7,991,79.74,221,2.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,1,30,0,0,0,3.2,6.6,991,78.92,223,2.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,2,30,0,0,0,2.9,6,990,80.76,228,2.7,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,3,30,0,0,0,2.8,5.7,989,81.35,229,2.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,4,30,0,0,0,2.7,5.4,989,82.64,226,2.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,5,30,0,0,0,2.7,5.2,989,83.89,221,2.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,6,30,0,0,0,2.9,6,990,80.48,220,3.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,7,30,0,8,8,3.4,8,990,72.68,223,4.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,8,30,0,65,65,3.6,10.4,991,62.72,231,5.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,9,30,175,201,281,3.1,12.4,990,52.91,240,6.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,10,30,155,254,339,2.8,13.4,990,48.49,242,7.6,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,11,30,82,269,317,2.5,13.9,989,45.98,245,8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
