run,1,2,3,4,5,6,7,8,9,10,11,12
AC inverter output power (W) - Hour 206,117722,117722,117722,117722,118948,118948,118948,118948,120174,120174,120174,120174
AC inverter output power (W) - Hour 207,33723.9,33723.9,33723.9,33723.9,34075.2,34075.2,34075.2,34075.2,34426.4,34426.4,34426.4,34426.4
AC inverter output power (W) - Hour 208,6401.52,6401.52,6401.52,6401.52,6468.2,6468.2,6468.2,6468.2,6534.89,6534.89,6534.89,6534.89
AC inverter output power (W) - Hour 209,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 210,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 211,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 212,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 213,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 214,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 215,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 216,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 217,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 218,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 219,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 220,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 221,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 222,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 223,30745.2,30745.2,30745.2,30745.2,31065.5,31065.5,31065.5,31065.5,31385.7,31385.7,31385.7,31385.7
AC inverter output power (W) - Hour 224,215532,215532,215532,215532,217777,217777,217777,217777,220022,220022,220022,220022
AC inverter output power (W) - Hour 225,168955,168955,168955,168955,170714,170714,170714,170714,172474,172474,172474,172474
AC inverter output power (W) - Hour 226,354288,354288,354288,354288,357978,357978,357978,357978,361669,361669,361669,361669
AC inverter output power (W) - Hour 227,373514,373514,373514,373514,377405,377405,377405,377405,381296,381296,381296,381296
AC inverter output power (W) - Hour 228,364758,364758,364758,364758,368558,368558,368558,368558,372358,372358,372358,372358
AC inverter output power (W) - Hour 229,329734,329734,329734,329734,333168,333168,333168,333168,336603,336603,336603,336603
AC inverter output power (W) - Hour 230,263911,263911,263911,263911,266660,266660,266660,266660,269409,269409,269409,269409
AC inverter output power (W) - Hour 231,169996,169996,169996,169996,171766,171766,171766,171766,173537,173537,173537,173537
AC inverter output power (W) - Hour 232,33259.1,33259.1,33259.1,33259.1,33605.6,33605.6,33605.6,33605.6,33952,33952,33952,33952
AC inverter output power (W) - Hour 233,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 234,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 235,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 236,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 237,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 238,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 239,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 240,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 241,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 242,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 243,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 244,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 245,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 246,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 247,92193.9,92193.9,92193.9,92193.9,93154.3,93154.3,93154.3,93154.3,94114.6,94114.6,94114.6,94114.6
AC inverter output power (W) - Hour 248,219784,219784,219784,219784,222074,222074,222074,222074,224363,224363,224363,224363
AC inverter output power (W) - Hour 249,300054,300054,300054,300054,303179,303179,303179,303179,306305,306305,306305,306305
AC inverter output power (W) - Hour 250,346202,346202,346202,346202,349808,349808,349808,349808,353415,353415,353415,353415
AC inverter output power (W) - Hour 251,255430,255430,255430,255430,258091,258091,258091,258091,260751,260751,260751,260751
AC inverter output power (W) - Hour 252,265619,265619,265619,265619,268386,268386,268386,268386,271153,271153,271153,271153
AC inverter output power (W) - Hour 253,326546,326546,326546,326546,329947,329947,329947,329947,333349,333349,333349,333349
AC inverter output power (W) - Hour 254,263447,263447,263447,263447,266192,266192,266192,266192,268936,268936,268936,268936
AC inverter output power (W) - Hour 255,164741,164741,164741,164741,166457,166457,166457,166457,168173,168173,168173,168173
AC inverter output power (W) - Hour 256,31253.6,31253.6,31253.6,31253.6,31579.1,31579.1,31579.1,31579.1,31904.7,31904.7,31904.7,31904.7
AC inverter output power (W) - Hour 257,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 258,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 259,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 260,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 261,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 262,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 263,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 264,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 265,0,0,0,0,0,0,0,0,0,0,0,0
